
 









Bảy mươi có phải già chưa nhỉ
Móm mém nhưng mà lại rất tươi
Mẹ hãy an nhiên vui sống khoẻ
Yêu sao mỗi lúc mẹ vui cười
Cuộc sống tuy còn nhiều vất vả
Khó khăn lam lũ mẹ lo tròn
Vì con không quản nhiều buồn tủi
Mẹ sống cả đời với các con
Lắm lúc quay sang thấy mẹ buồn
Nhìn dòng nước mắt mẹ rơi tuôn
Giựt mình chợt thấy vô tâm quá
Đời mẹ vì con cạn suối nguồn
Bây giờ con muốn mẹ an vui
Gánh nặng ngày xưa đã đẩy lùi
Mẹ là người con yêu quý nhất
Gắng ngoan để mẹ hết bùi ngùi.









Xem thêm:  Bài thơ Tôi Đi Tìm Tôi – Nhà thơ Dương Hoàng
